sku_id,var_demand,var_forecast,bullwhip_ratio,Family,has_bullwhip
SKU-015,4.201986754966888,8.815920181247826,2.098036166065282,Medical Devices,0
SKU-032,1963.5245294527706,3870.4461484837925,1.9711728019830117,Surgical Consumables,0
SKU-013,130.8615806901359,234.97346636458693,1.7955878656316644,Medical Devices,0
SKU-049,56.78685953293829,101.17601951899613,1.781680134297806,Diagnostic Equipment,1
SKU-029,25415.376394214018,44694.24398745208,1.758551331060634,Surgical Consumables,1
SKU-005,67.85151620773789,113.3809254095504,1.6710153545046391,Medical Devices,0
SKU-028,32427.17462530498,49813.925235273615,1.5361784000879513,Surgical Consumables,0
SKU-024,16660.72760543743,24014.6181596375,1.4413907200427452,Surgical Consumables,0
SKU-035,29344.689395259666,41471.33526490069,1.4132483975652494,Surgical Consumables,0
SKU-014,123.7120512373649,168.56936214708963,1.3625945125075771,Medical Devices,0
SKU-034,42092.20455733705,52905.120555942856,1.256886426176056,Surgical Consumables,1
SKU-030,20993.339142558376,23845.628441965855,1.1358663945758503,Surgical Consumables,0
SKU-033,54293.48967410247,61344.341582432906,1.129865513354424,Surgical Consumables,0
SKU-042,162.18107354478906,180.88950853956086,1.1153552297186216,Diagnostic Equipment,0
SKU-012,307.1358922969674,339.2058208434994,1.104416088613713,Medical Devices,0
SKU-009,60.50034855350298,65.18678110840013,1.0774612488513637,Medical Devices,0
SKU-006,61.64861449982569,65.61550191704428,1.0643467407889566,Medical Devices,1
SKU-039,25293.258278145695,26880.182249912865,1.0627409863259227,Surgical Consumables,0
SKU-004,168.96200766817697,178.34489369118157,1.055532519721425,Medical Devices,0
SKU-001,340.5156849076334,347.574590449634,1.0207300452075074,Medical Devices,0
SKU-026,1657.694492854653,1573.6477866852554,0.9492990375900544,Surgical Consumables,0
SKU-019,154.25788602300452,145.04631404670613,0.9402845960502488,Medical Devices,0
SKU-043,50.02330951551064,46.70756361101432,0.9337159828765785,Diagnostic Equipment,1
SKU-017,87.7496950156849,81.27988846287906,0.9262697545370454,Medical Devices,0
SKU-047,4.270782502614153,3.9204862321366334,0.9179784336329228,Diagnostic Equipment,0
SKU-046,19.215754618333918,17.224076333217138,0.8963518048249585,Diagnostic Equipment,0
SKU-020,15.52313523875914,13.634541652143607,0.8783368464187586,Medical Devices,0
SKU-016,394.43390554200084,340.024921575462,0.8620580452084254,Medical Devices,0
SKU-011,47.33426280934123,40.745033112582774,0.8607936554689914,Medical Devices,0
SKU-040,1782.9061955385155,1469.449939003137,0.8241880266501059,Surgical Consumables,1
SKU-045,86.62251655629137,70.52871209480654,0.8142076090455497,Diagnostic Equipment,0
SKU-022,1350.930245730219,1092.128921226908,0.8084273223423013,Surgical Consumables,0
SKU-041,147.57576681770647,118.52910421749745,0.8031745778689463,Diagnostic Equipment,0
SKU-008,290.01324503311275,230.62909550365993,0.7952364226583081,Medical Devices,0
SKU-037,5880.800235273615,4437.4130359010105,0.7545593896022812,Surgical Consumables,0
SKU-018,179.54962530498435,134.86541477866837,0.7511316971538368,Medical Devices,0
SKU-007,12.501742767514815,8.99878006273963,0.7198020492088938,Medical Devices,0
SKU-031,35171.42310038341,23221.09720285814,0.6602262620020344,Surgical Consumables,0
SKU-010,11.313872429417918,6.266991983269431,0.553921040065312,Medical Devices,0
SKU-003,190.7994074590449,102.05210874869293,0.5348659626765268,Medical Devices,0
SKU-025,4850.867157546182,2273.4932032066945,0.4686776877964937,Surgical Consumables,0
SKU-002,293.4388288602301,136.6106221680028,0.4655505977127273,Medical Devices,0
SKU-021,5947.289473684209,1984.267514813524,0.33364232960133955,Surgical Consumables,0
SKU-044,19.36632973161381,6.036249564308119,0.3116878442100714,Diagnostic Equipment,0
SKU-027,9430.966843848031,2623.0759410944565,0.2781343614632184,Surgical Consumables,1
SKU-050,50.30115022655977,13.54613976995469,0.2693007954876174,Diagnostic Equipment,0
SKU-038,6485.435996863017,1663.619336005577,0.25651619055530944,Surgical Consumables,0
SKU-023,24578.095329383053,5776.866808992681,0.23504127279083548,Surgical Consumables,0
SKU-048,86.04387417218543,20.02561868246775,0.23273729681666566,Diagnostic Equipment,0
SKU-036,21570.793830603012,3873.210003485536,0.17955806512741865,Surgical Consumables,0
